id,weight,region,type,tenure,income,hardships,gender,move_date,pretenure,forced_move,move_to_buy
00001,44.032,Non CMA,05,rented,19000,easy,male,10+,own,no,no
00021,259.282,Vancouver,06,owned,77500,neither,female,4-5,own,no,no
00022,204.367,Other CMA,01,owned,37000,difficult,male,10+,rent,no,yes
00024,34.506,Other CMA,06,rented,67500,neither,female,4-5,rent,no,no
00030,1210.35,Vancouver,04,owned,175000,easy,female,10+,rent,no,yes
00049,1732.072,Vancouver,06,owned,115000,very easy,male,10+,own,no,no
00062,27.983,Other CMA,05,rented,19000,easy,female,5-10,rent-free,no,no
00077,143.105,Vancouver,06,rented,22000,very difficult,female,10+,rent,no,no
00081,171.107,Vancouver,03,rented,40000,neither,female,10+,own,no,no
00092,147.255,Other CMA,06,owned,110000,neither,male,10+,own,no,no
00100,972.008,Vancouver,05,rented,95000,neither,male,5-10,rent,no,no
00115,670.347,Vancouver,01,owned,57500,neither,female,10+,rent,no,yes
00140,129.78,Vancouver,06,rented,65000,neither,female,4-5,rent,no,no
00147,1359.49,Non CMA,01,owned,41000,neither,female,<1,own,no,no
00150,625.798,Non CMA,01,owned,48000,neither,male,5-10,own,no,no
00153,214.084,Other CMA,01,owned,145000,neither,male,5-10,own,no,no
00156,42.441,Other CMA,03,rented,22000,very easy,male,5-10,rent,no,no
00175,794.568,Vancouver,05,owned,55000,neither,female,10+,rent,no,yes
00187,575.759,Vancouver,01,owned,165000,easy,female,5-10,rent,no,yes
00199,680.934,Non CMA,01,owned,67500,neither,male,10+,own,no,no
00200,285.983,Non CMA,03,rented,105000,easy,male,<1,own,no,no
00206,14.484,Non CMA,03,rented,26000,neither,female,4-5,rent,no,no
00220,61.284,Non CMA,01,owned,77500,easy,male,5-10,rent,no,yes
00230,249.361,Other CMA,06,owned,32000,difficult,female,5-10,own,no,no
00238,110.095,Non CMA,01,owned,62500,neither,female,10+,rent,no,yes
00274,95.858,Other CMA,04,owned,230000,neither,male,10+,own,no,no
00298,79.511,Other CMA,05,rented,57500,very difficult,female,1-2,rent,yes,no
00302,145.297,Non CMA,06,rented,19000,very difficult,male,10+,rent,no,no
00304,76.027,Other CMA,06,rented,37000,neither,male,2-3,rent,no,no
00319,49.514,Non CMA,01,owned,48000,neither,male,<1,rent,no,no
00322,842.015,Vancouver,04,owned,100000,very easy,male,10+,own,no,no
00368,279.099,Vancouver,04,rented,60000,neither,female,5-10,rent,no,no
00388,87.119,Other CMA,06,owned,34000,neither,female,10+,rent,no,yes
00389,279.933,Vancouver,06,rented,50000,difficult,male,2-3,rent-free,no,no
00396,388.224,Other CMA,03,owned,82500,easy,male,5-10,own,no,no
00419,592.047,Non CMA,01,owned,21000,neither,female,10+,rent-free,no,yes
00421,294.991,Vancouver,06,rented,48000,neither,male,10+,rent,no,no
00452,437.573,Vancouver,06,rented,50000,neither,female,10+,rent,no,no
00460,170.293,Vancouver,06,rented,15000,difficult,male,<1,rent,no,no
00470,229.064,Other CMA,01,owned,39000,neither,male,10+,rent,no,no
00475,178.552,Vancouver,03,rented,55000,neither,male,10+,own,no,no
00500,913.75,Non CMA,01,owned,70000,easy,male,10+,rent,no,yes
00506,242.841,Vancouver,06,rented,100000,neither,male,4-5,own,no,no
00514,94.517,Non CMA,03,rented,34000,difficult,female,1-2,rent,no,no
00535,744.858,Non CMA,03,owned,28000,difficult,female,10+,rent,no,yes
00549,522.574,Other CMA,06,rented,48000,very easy,male,2-3,rent,no,no
00559,50.912,Other CMA,05,owned,-36000,very easy,male,5-10,own,no,no
00569,520.162,Other CMA,06,rented,120000,neither,male,2-3,rent,no,no
00570,44.032,Non CMA,06,rented,21000,easy,male,3-4,own,no,no
00572,323.364,Vancouver,06,rented,33000,neither,female,4-5,rent,no,no
00576,83.686,Other CMA,04,rented,62500,very easy,female,5-10,own,no,no
00586,106.237,Other CMA,06,rented,36000,neither,male,10+,rent,no,no
00588,511.985,Vancouver,01,owned,85000,very easy,female,5-10,own,no,no
00600,73.909,Other CMA,01,owned,42000,very easy,male,10+,own,no,no
00602,154.393,Vancouver,06,rented,135000,neither,female,5-10,rent,no,no
00612,75.081,Other CMA,01,owned,180000,neither,male,10+,own,no,yes
00659,187.951,Other CMA,01,owned,190000,neither,male,5-10,own,no,no
00662,10.199,Non CMA,01,rented,55000,easy,female,10+,rent,no,no
00675,11.922,Non CMA,01,rented,27000,difficult,female,10+,rent,no,no
00681,97.347,Other CMA,06,rented,92500,very easy,male,3-4,rent,no,no
00695,875.05,Vancouver,06,owned,135000,neither,female,5-10,own,no,no
00698,629.654,Vancouver,06,owned,165000,neither,male,10+,own,no,no
00709,117.549,Non CMA,01,owned,82500,neither,female,10+,own,no,yes
00710,328.871,Other CMA,01,owned,125000,neither,male,4-5,own,no,no
00725,837.677,Vancouver,04,owned,270000,neither,male,10+,own,no,no
00729,479.354,Non CMA,01,owned,52500,neither,male,10+,rent,no,no
00736,15.813,Non CMA,03,rented,28000,difficult,female,3-4,own,no,no
00742,35.941,Other CMA,06,rented,21000,neither,female,5-10,rent,no,no
00776,231.685,Other CMA,01,owned,60000,easy,female,10+,own,no,no
00778,77.577,Non CMA,01,rented,44000,neither,female,10+,own,no,no
00800,115.766,Non CMA,06,owned,46000,easy,female,2-3,own,no,no
00802,311.89,Vancouver,05,rented,36000,easy,male,10+,rent,no,no
00850,619.629,Vancouver,05,rented,29000,neither,female,5-10,rent,no,no
00854,588.569,Vancouver,04,owned,290000,very easy,male,10+,own,no,no
00868,132.046,Vancouver,06,rented,57500,neither,female,10+,rent,no,no
00876,1287.631,Non CMA,06,rented,37000,neither,male,<1,rent,no,no
00885,220.31,Other CMA,06,owned,45000,easy,female,10+,own,no,no
00905,960.826,Non CMA,01,owned,2000,very difficult,male,10+,rent,no,yes
00913,131.966,Non CMA,06,rented,15000,difficult,female,5-10,rent,no,no
00918,842.015,Vancouver,04,owned,41000,neither,male,10+,own,no,no
00927,759.612,Vancouver,01,owned,180000,neither,male,3-4,own,no,no
00932,385.099,Non CMA,01,owned,140000,very easy,female,10+,own,no,no
